医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市密云区石城镇张家坟村村卫生室,28170057,密云区,村卫生室,无等级,北京市密云区石城镇张家坟村
北京市密云区石城镇贾峪村村卫生室,28170058,密云区,村卫生室,无等级,北京市密云区石城镇贾峪村
北京市密云区新城子镇头道沟村村卫生室,28170279,密云区,村卫生室,无等级,北京市密云区新城子镇头道沟村村委会院内
北京市密云区西田各庄镇董各庄村郑得兰村卫生室,28170140,密云区,村卫生室,无等级,北京市密云区西田各庄镇董各庄村西南区4号
北京市密云区西田各庄镇渤海寨村村卫生室,28170127,密云区,村卫生室,无等级,北京市密云区西田各庄镇渤海寨村（村委会前院）
北京市密云区西田各庄镇大辛庄村村卫生室,28170132,密云区,村卫生室,无等级,北京市密云区西田各庄镇大辛庄村（村委会东20米路南）
北京市密云区西田各庄镇疃里村生合村卫生室,28170163,密云区,村卫生室,无等级,北京市密云区西田各庄镇疃里村西安北区13号
北京市密云区西田各庄镇白道峪村村卫生室,28170126,密云区,村卫生室,无等级,北京市密云区西田各庄镇白道峪村（村委会北20米）
北京市密云区新城子镇大角峪村村卫生室,28170289,密云区,村卫生室,无等级,北京市密云区新城子镇大角峪村（村委会院内）
北京市密云区新城子镇二道沟村村卫生室,28170286,密云区,村卫生室,无等级,北京市密云区新城子镇二道沟村（村委会院内）
北京市密云区新城子镇坡头村村卫生室,28170283,密云区,村卫生室,无等级,北京市密云区新城子镇坡头村村委会南50米
北京市密云区新城子镇花园村村卫生室,28170285,密云区,村卫生室,无等级,北京市密云区新城子镇花园村（村委会东50米）
北京市密云区十里堡镇燕落寨村泰和村卫生室,28170075,密云区,村卫生室,无等级,北京市密云区十里堡镇燕落寨村（村委会东10米）
北京市密云区十里堡镇程家庄村任淑银村卫生室,28170087,密云区,村卫生室,无等级,北京市密云区十里堡镇程家庄村文明街32号
北京市密云区十里堡镇靳各寨村村卫生室,28170085,密云区,村卫生室,无等级,北京市密云区十里堡镇靳各寨村（原社区卫生服务站）
北京市密云区十里堡镇统军庄村立忠村卫生室,28170078,密云区,村卫生室,无等级,北京市密云区十里堡镇统军庄村新街549号
北京市密云区十里堡镇双井村村卫生室,28170081,密云区,村卫生室,无等级,北京市密云区十里堡镇双井村双欣街9号
北京市密云区十里堡镇水泉村村卫生室,28170079,密云区,村卫生室,无等级,北京市密云区十里堡镇水泉村中心街33号
北京市密云区新城子镇吉家营村第二村卫生室,28170284,密云区,村卫生室,无等级,北京市密云区新城子镇吉家营村（村委会院内）
北京市密云区十里堡镇十里堡村村卫生室,28170082,密云区,村卫生室,无等级,北京市密云区十里堡镇十里堡村富民路西侧甲17号
北京市密云区新城子镇遥桥峪村村卫生室,28170277,密云区,村卫生室,无等级,北京市密云区新城子镇乡遥桥峪村（村委会院内）
北京市密云区十里堡镇双井村刘汉军村卫生室,28170080,密云区,村卫生室,无等级,北京市密云区十里堡镇双井村双欣街173号
北京市密云区十里堡镇清水潭村村卫生室,28170083,密云区,村卫生室,无等级,北京市密云区十里堡镇清水潭村顺发大街553号
北京市密云区十里堡镇杨新庄村于凤荣村卫生室,28170074,密云区,村卫生室,无等级,北京市密云区十里堡镇杨新庄村
北京市密云区十里堡镇岭东村邓长福村卫生室,28170084,密云区,村卫生室,无等级,北京市密云区十里堡镇岭东村（原社区卫生服务站）
北京市密云区西田各庄镇朝阳村村卫生室,28170131,密云区,村卫生室,无等级,北京市密云区西田各庄镇朝阳村村委会院内
北京市密云区太师屯镇桑园村村卫生室,28170326,密云区,村卫生室,无等级,北京市密云区太师屯镇桑园村（原社区卫生服务站）
北京市密云区太师屯镇松树掌村村卫生室,28170320,密云区,村卫生室,无等级,北京市密云区太师屯镇松树掌村（村委会院内）
北京市密云区古北口镇汤河村村卫生室,28170088,密云区,村卫生室,无等级,北京市密云区古北口镇汤河村东北大街45号
北京市密云区古北口镇杨庄子村村卫生室,28110080,密云区,村卫生室,无等级,北京市密云区古北口镇杨庄子村新中街三条17号
北京市密云区西田各庄镇韩各庄村李才村卫生室,28170142,密云区,村卫生室,无等级,北京市密云区西田各庄镇韩各庄村东区11号
北京市密云区西田各庄镇韩各庄村永海村卫生室,28170145,密云区,村卫生室,无等级,北京市密云区西田各庄镇韩各庄村西区137号
北京市密云区古北口镇河西村第二村卫生室,28170090,密云区,村卫生室,无等级,北京市密云区古北口镇河西村二条胡同5号
北京市密云区太师屯镇二道河村村卫生室,28170310,密云区,村卫生室,无等级,北京市密云区太师屯镇二道河村文化大院内
北京市密云区太师屯镇上庄子村第二村卫生室,28170312,密云区,村卫生室,无等级,北京市密云区太师屯镇上庄子村塔寺会37号
北京市密云区巨各庄镇蔡家洼村村卫生室,28170091,密云区,村卫生室,无等级,北京市密云区巨各庄镇蔡家洼村蔡家洼小区南200米
北京市密云区太师屯镇前南台村海云村卫生室,28170322,密云区,村卫生室,无等级,北京市密云区太师屯镇前南台村82号
北京市密云区太师屯镇东田各庄村村卫生室,28170298,密云区,村卫生室,无等级,北京市密云区太师屯镇东田各庄村60号
北京市密云区不老屯镇燕落村连英村卫生室,28170251,密云区,村卫生室,无等级,北京市密云区不老屯镇燕落村村委会对面
北京市密云区不老屯镇柳树沟村村卫生室,28170244,密云区,村卫生室,无等级,北京市密云区不老屯镇柳树沟村环湖路139号
北京市密云区不老屯镇丑山子村村卫生室,28170238,密云区,村卫生室,无等级,北京市密云区不老屯镇丑山子村（村委会院内）
北京市密云区不老屯镇南香峪村亚文村卫生室,28170245,密云区,村卫生室,无等级,北京市密云区不老屯镇南香峪村（村委会院内）
北京市密云区不老屯镇兵马营村亚琴村卫生室,28170235,密云区,村卫生室,无等级,北京市密云区不老屯镇兵马营村中心南街256号
北京市密云区不老屯镇董各庄村村卫生室,28170240,密云区,村卫生室,无等级,北京市密云区不老屯镇董各庄村（村委会院内）
北京市密云区不老屯镇学各庄村雪飞村卫生室,28170249,密云区,村卫生室,无等级,北京市密云区不老屯镇学各庄村（村委会路北）
北京市密云区不老屯镇镇沙峪里村村卫生室,28170275,密云区,村卫生室,无等级,北京市密云区不老屯镇沙峪里村（村委会院内）
北京市密云区不老屯镇古石峪村村卫生室,28170241,密云区,村卫生室,无等级,北京市密云区不老屯镇古石峪村
北京市密云区不老屯镇转山子村村卫生室,28170276,密云区,村卫生室,无等级,北京市密云区不老屯镇转山子村（村委会院内）
北京市密云区不老屯镇黄土坎村第二村卫生室,28170242,密云区,村卫生室,无等级,北京市密云区不老屯镇黄土坎村北河道路中街601号
北京市密云区不老屯镇兵马营村凤琴村卫生室,28170234,密云区,村卫生室,无等级,北京市密云区不老屯镇兵马营村中心南街351号
北京市密云区不老屯镇白土沟村村卫生室,28170230,密云区,村卫生室,无等级,北京市密云区不老屯镇白土沟村（村委会后院）
北京市密云区不老屯镇永乐村村卫生室,28170274,密云区,村卫生室,无等级,北京市密云区不老屯镇永乐村（村委会院内）
北京市密云区不老屯镇阳坡地村村卫生室,28170252,密云区,村卫生室,无等级,北京市密云区不老屯镇阳坡地村栗树元97号
北京市密云区河南寨镇北金沟屯村村卫生室,28170208,密云区,村卫生室,无等级,北京市密云区河南寨镇北金沟屯村（村委会院内）
北京市密云区不老屯镇陈家峪村村卫生室,28170237,密云区,村卫生室,无等级,北京市密云区不老屯镇陈家峪村村委会院内
北京市密云区不老屯镇边庄子村村卫生室,28170233,密云区,村卫生室,无等级,北京市密云区不老屯镇边庄子老年活动中心
北京市密云区不老屯镇杨各庄村玉玲村卫生室,28170273,密云区,村卫生室,无等级,北京市密云区不老屯镇杨各庄村（村委会院内）
北京市密云区不老屯镇半城子村刘海珍村卫生室,28170231,密云区,村卫生室,无等级,北京市密云区不老屯镇半城子村委会东侧
