医疗机构名称,本地机构编码,医保区划,机构类别,医院等级,联系地址
北京市东城区第一人民医院,03110003,东城区,对外中医,二级甲等,北京市东城区永外大街130号、北京市东城区东晓市街109号
北京市东城区精神卫生保健院,01153001,东城区,对外专科,二级无等,北京市东城区东直门外察慈小区7号楼
北京市鼓楼中医医院,01151003,东城区,对外中医,三级无等,北京市东城区豆腐池胡同13号、北京市东城区和平里中街14－2号、北京市东城区新中街一条67号、北京市东城区安乐林路10号   
北京市和平里医院,01110008,东城区,对外中医,三级甲等,北京市东城区和平里北街18号，北京市东城区和平里西街19号楼一层12307号
北京医院,01110005,东城区,对外综合,三级甲等,北京市东城区东单大华路1号
北京中医药大学东直门医院 北京中医药大学第一临床医学院,01151001,东城区,对外中医,三级甲等,北京市东城区海运仓5号、台基厂3号、东四北大街279号、通州区翠屏西路116号、东直门北大街9号、北京市西城区西长安街80号、北京市东城区工体西路1号
首都医科大学附属北京妇产医院,01152001,东城区,对外专科,三级甲等,北京市东城区北池子大街骑河楼17号/朝阳区姚家园路251号
首都医科大学附属北京中医医院,01151002,东城区,对外中医,三级甲等,北京市东城区美术馆后街23号、61号；北京市东城区台基厂3号；丰台区西三环南路9号；海淀区中关村南大街17号1号；海淀区西四环中路16号院8号楼；朝阳区朝阳门南大街8号；朝阳区西大望路15号4号楼；朝阳区惠新东街甲6号；朝阳区朝阳门北大街22号；东城区北河沿大街147号；东城区和平里中街16号；朝阳区国家体育场北路1号院1号楼
中国医学科学院北京协和医院,01110003,东城区,对外综合,三级甲等,北京市东城区王府井帅府园1号、北京市西城区大木仓胡同41号
北京安德中医医院,01151067,东城区,对外中医,一级无等,北京市东城区安德路甲10号4楼101-2
北京安定门中医医院,01151011,东城区,对外中医,一级无等,北京市东城区安定门内大街47号
北京地坛口腔门诊部,01155003,东城区,对外专科,无等级,北京市东城区青年湖北里10号楼一层106-107号
北京国龙中医医院,03110007,东城区,对外中医,一级无等,北京市东城区珠市口东大街155号
北京国医堂中医研究院恒康中医门诊部,01151012,东城区,对外中医,无等级,北京市东城区东直门内北小街18号楼
北京国医药研究院天易中医门诊部,03151002,东城区,对外中医,无等级,北京市东城区金鱼池东区10号楼首层和半地下
北京华都中医医院,03151019,东城区,对外中医,一级无等,北京市东城区安化北里丙1号
北京健行中医医院,01151064,东城区,对外中医,一级无等,北京市东城区东四北大街248号
北京市崇文口腔医院,03155002,东城区,对外专科,一级甲等,北京市东城区东花市北里西区24号楼
北京市东城金针研究学会海运仓中医门诊部,01151009,东城区,对外中医,无等级,北京市东城区东直门内南小街20号楼1号
北京市东城区东花市社区卫生服务中心,03161002,东城区,对外综合,无等级,北京市东城区广渠家园13号楼
北京市东城区东外医院,01110016,东城区,对外综合,一级甲等,北京市东城区东直门外察慈小区7号楼
北京市东城区建国门社区卫生服务中心,01110015,东城区,对外综合,无等级,北京市东城区后赵家楼胡同9号
北京市东城区龙潭社区卫生服务中心,03161001,东城区,对外综合,无等级,北京市东城区光明中街25号
北京市东城区体育馆路社区卫生服务中心,03153001,东城区,对外综合,无等级,北京市东城区法华南里25号楼西侧
北京市东城区天坛社区卫生服务中心,03110005,东城区,对外综合,无等级,北京市东城区粉厂胡同57号、北京市东城区珠市口东大街2号107、108室
北京市东城区永定门外社区卫生服务中心,03110018,东城区,对外综合,无等级,北京市丰台区蒲黄榆二里2号院
北京市惠民医药卫生事业发展基金会北京炎黄中医医院,01151066,东城区,对外中医,一级无等,北京市东城区天坛路55号元隆大厦五层
国家体育总局运动医学研究所体育医院,03111001,东城区,对外专科,一级无等,北京市东城区体育馆路4号西门
北京市东城区和平里社区卫生服务中心,01162002,东城区,对外综合,无等级,北京市东城区小黄庄一区9-1号、北京市东城区黄寺大街甲8号9楼
首都医科大学中医门诊部,01151007,东城区,对外中医,无等级,北京市东城区东四十条27号
应急管理部机关医务室,01141005,东城区,对内,无等级,北京市东城区和平里北街21号
中央戏剧学院医务室,01141002,东城区,对内,无等级,北京市东城区东棉花胡同39号
北京市东城区安定门社区卫生服务中心,01162030,东城区,对外综合,无等级,北京市东城区永恒胡同6号
北京市东城区北新桥街道青龙社区卫生服务站,01162001,东城区,社区卫生站,无等级,北京市东城区东内北小街25号
北京市东城区北新桥街道十三条社区卫生服务站,01162029,东城区,社区卫生站,无等级,北京市东城区东四北大街168号内一层2112号
北京市东城区朝阳门街道大方家社区卫生服务站,01162014,东城区,社区卫生站,无等级,北京市东城区小牌坊胡同30号
北京市东城区朝阳门街道朝内头条社区卫生服务站,01162052,东城区,社区卫生站,无等级,北京市东城区朝内大街203号
北京市东城区朝阳门街道内务社区卫生服务站,01162025,东城区,社区卫生站,无等级,北京市东城区内务部73号
北京市东城区朝阳门社区卫生服务中心,01162032,东城区,对外综合,无等级,北京市东城区东四南大街灯草胡同31号
北京市东城区崇文门外街道新景家园社区卫生服务站,03162015,东城区,社区卫生站,无等级,北京市东城区西花市大街62、64号
北京市东城区东花市街道铁辘轳把社区卫生服务站,03162002,东城区,社区卫生站,无等级,北京市东城区东花市大街33号
北京市东城区东花市街道东花市南里社区卫生服务站,03162003,东城区,社区卫生站,无等级,北京市东城区东花市南里东区13号楼107－108
北京市东城区东华门街道多福巷社区卫生服务站,01162033,东城区,社区卫生站,无等级,北京市东城区东四南大街报房胡同45号
北京市东城区东华门街道台基厂社区卫生服务站,01162042,东城区,社区卫生站,无等级,北京市东城区台基厂大街台基厂二条3号
北京市东城区东华门街道韶九社区卫生服务站,01162053,东城区,社区卫生站,无等级,北京市东城区韶九胡同22号
北京市东城区东华门街道东华门社区卫生服务站,01162043,东城区,社区卫生站,无等级,北京市东城区南河沿大街磁器库南巷1号
北京市东城区东四街道南门仓社区卫生服务站,01162046,东城区,社区卫生站,无等级,北京市东城区朝阳门内北小街仓南胡同5号、罗家大院1号
北京市东城区东四街道东四社区卫生服务站,01162034,东城区,社区卫生站,无等级,北京市东城区东四北大街东四六条甲62号
北京市东城区东直门街道十字坡社区卫生服务站,01162045,东城区,社区卫生站,无等级,北京市东城区东直门外十字坡西里10号楼北
北京市东城区东直门街道清水苑社区卫生服务站,01162011,东城区,社区卫生站,无等级,北京市东城区东直门北大街乙4号楼
北京市东城区东直门街道新中街社区卫生服务站,01162007,东城区,社区卫生站,无等级,北京市东城区新中西里6号楼迤北平房院
北京市东城区东直门街道王家园社区卫生服务站,01162016,东城区,社区卫生站,无等级,北京市东城区东外新中街12号
北京市东城区和平里街道安德里社区卫生服务站,01162051,东城区,社区卫生站,无等级,北京市东城区安德里北街21号
北京市东城区和平里街道青年湖社区卫生服务站,01162009,东城区,社区卫生站,无等级,北京市东城区青年湖东里9号楼北
北京市东城区和平里街道和平里中街社区卫生服务站,01162022,东城区,社区卫生站,无等级,北京市东城区和平里六区六号一层，北京市东城区和平里5区甲7号楼一层。
北京市东城区和平里街道安德路社区卫生服务站,01162020,东城区,社区卫生站,无等级,北京市东城区安外青年路南街11号
北京市东城区交道口社区卫生服务中心,01162048,东城区,对外综合,无等级,北京市东城区府学胡同37号院C、D、E座
北京市东城区和平里街道交通社区卫生服务站,01162047,东城区,社区卫生站,无等级,北京市东城区交林夹道甲2号
北京市东城区和平里街道东河沿社区卫生服务站,01162027,东城区,社区卫生站,无等级,北京市东城区东河沿甲7号
北京市东城区急救站,01155002,东城区,对外专科,无等级,北京市东城区安内中绦胡同甲2号
北京市东城区中医药学会东单中医门诊部,01151008,东城区,对外中医,无等级,北京市东城区广渠家园8号楼一层101/102/103单元、北京市东城区张自忠路10号－1至1层1-1012—1-1015
北京市东城区永定门外街道富莱茵社区卫生服务站,03162014,东城区,社区卫生站,无等级,北京市东城区沙子口路72号富莱茵小区9-1-101
北京市东城区永定门外街道东革新里社区卫生服务站,03162011,东城区,社区卫生站,无等级,北京市东城区东革新里40号
北京市东城区永定门外街道永建里社区卫生服务站,01162063,东城区,社区卫生站,无等级,北京市东城区永定门西滨河路8号院8-2底商
北京市东城区永定门外街道景泰西里社区卫生服务站,03162005,东城区,社区卫生站,无等级,北京市东城区景泰西里西区8号楼底商
北京市东城区口腔医院,01155001,东城区,对外专科,无等级,北京市东城区交道口东大街4－28号、东四北大街490号、雍和宫大街53号
北京市东城区天坛街道天坛南里社区卫生服务站,03162007,东城区,社区卫生站,无等级,北京市东城区永内东街西里11号
北京市东城区天坛街道金鱼池社区卫生服务站,03162006,东城区,社区卫生站,无等级,北京市东城区金鱼池小区西区13楼1单元001，002，101，102室和16楼5单元103，104室，北京市东城区珠市口东大街2号大厦109室
北京市东城区天坛街道天坛东里社区卫生服务站,03162016,东城区,社区卫生站,无等级,北京市东城区天坛东里南区79号
北京市东城区体育馆路街道法华寺社区卫生服务站,03162009,东城区,社区卫生站,无等级,北京市东城区体育馆西路1号
北京市东城区体育馆路街道长青园社区卫生服务站,03162012,东城区,社区卫生站,无等级,北京市崇文区长青园16号楼迤南2-2-1-72-29
北京市东城区前门街道前门社区卫生服务站,03162026,东城区,社区卫生站,无等级,北京市东城区草厂六条4号
北京市东城区龙潭街道幸福家园社区卫生服务站,03162013,东城区,社区卫生站,无等级,北京市东城区幸福家园19号楼1101、1102号
北京市东城区龙潭街道左安门社区卫生服务站,03162001,东城区,社区卫生站,无等级,北京市东城区左安蒲园1号楼旁平房
北京市东城区交道口街道圆恩寺社区卫生服务站,01162012,东城区,社区卫生站,无等级,北京市东城区板厂胡同30号院内西南角内院41-66号
北京市东城区景山街道吉祥社区卫生服务站,01162031,东城区,社区卫生站,无等级,北京市东城区水簸箕胡同甲5号—1
北京市东城区景山街道宽街社区卫生服务站,01162026,东城区,社区卫生站,无等级,北京市东城区美术馆后街12号
国务院国有资产监督管理委员会冶金机关服务中心医务室,01141006,东城区,对内,无等级,北京市东城区东四西大街46号
北京市东城区建国门街道苏州社区卫生服务站,01162013,东城区,社区卫生站,无等级,北京市东城区崇文门内大街苏州胡同120号、北京市东城区北京站东受禄街28号
北京市东城区建国门街道外交部街社区卫生服务站,01162035,东城区,社区卫生站,无等级,北京市东城区外交部街1号及甲
中国海洋石油集团有限公司医务室,05141041,东城区,对内,无等级,北京市东城区朝阳门北大街25号中国海油大厦614A室、北京市东城区东直门外小街6号海油大厦903室
北京市第六医院（北京市东城区交道口社区卫生服务中心、北京市东城区北新桥社区卫生服务中心）,01110007,东城区,对外综合,二级甲等,北京市东城区交道口北二条31.36号、东城区东直门内大街184号、北京市东城区东四北大街钱粮胡同3号东城区区政府办公楼东楼308室
北京中研集团东城中医医院,01151059,东城区,对外中医,一级无等,北京市东城区兴化路11号
北京市东城区龙潭街道龙潭北里社区卫生服务站,03162025,东城区,社区卫生站,无等级,北京市东城区夕照寺街35、37号
北京市东城区妇幼保健计划生育服务中心（北京市东城区妇幼保健院、北京市东城区东四妇产医院）,01152002,东城区,对外专科,二级甲等,北京市东城区交道口南大街136号、北京市东城区法华南里25号楼东侧
北京市东城区崇文门外街道都市馨园社区卫生服务站,03162017,东城区,社区卫生站,无等级,北京市东城区兴隆都市馨园13号楼D102—103
北京市隆福医院（北京中西医结合老年医院）北京市东城区景山社区卫生服务中心,01110009,东城区,对外中医,三级无等,北京市东城区美术馆东街18号、北京市东城区沙滩后街14号、北京市东城区三眼井胡同乙68号、北京市昌平区东小口镇中滩村290号、北京市朝阳区北苑5号院606号楼
北京同仁堂王府井中医医院,01151070,东城区,对外中医,一级无等,北京市东城区东安门大街23号、北京市东城区东安门大街甲37号
北京市普仁医院（北京市第四医院）,03110002,东城区,对外综合,二级甲等,北京市东城区崇文门外大街100号、北京市东城区白桥大街8号楼101、北京市东城区东花市南里东区8号楼104-1至3、201-1至13、202、203-1至2、301-9至12、303、北京市东城区幸福大街32号3层331室
北京普康中医医院,01151054,东城区,对外中医,一级无等,北京市东城区安外黄寺大街2号院
北京同仁堂中医医院,03151022,东城区,对外中医,二级无等,北京市崇文区西打磨厂46号
中国中医科学院针灸医院,01151005,东城区,对外中医,一级无等,北京市东城区北新仓18号
商务部国际贸易经济合作研究院管理服务中心卫生所,01141007,东城区,对内,无等级,北京市东城区安外东后巷28号
中国农业银行总行医务室,08141029,东城区,对内,无等级,北京市东城区建国门内大街69号
北京市东城区北新桥街道民安社区卫生服务站,01162028,东城区,社区卫生站,无等级,北京市东城区民安14号楼
北京市东城区交道口街道交东社区卫生服务站,01162023,东城区,社区卫生站,无等级,北京市东城区土儿胡同10号楼
首都医科大学附属北京口腔医院,03155001,东城区,对外专科,三级甲等,北京市东城区天坛西里4号；北京市东城区锡拉胡同11号；大兴区西红门镇欣荣北大街28号四层东段
北京市东城区安定门街道花园社区卫生服务站,01162004,东城区,社区卫生站,无等级,北京市东城区安定门内花园东巷25号
北京市东城区景山街道魏家社区卫生服务站,01162058,东城区,社区卫生站,无等级,北京市东城区东四北大街249号
北京市东城区北新桥街道海运仓社区卫生服务站,01162018,东城区,社区卫生站,无等级,北京市东城区海运仓小区南颂年3号楼
中国民用航空局机关医务室,01131001,东城区,对内,无等级,北京市东城区东四西大街155号
北京市人民代表大会常务委员会机关医务室,01100062,东城区,对内,无等级,北京市朝阳区建国门外南大街6号
北京市公安局民警门诊部,01100061,东城区,对内,无等级,北京市东城区银闸胡同25号(一层、二层和三层东侧）
北京惠民中医儿童医院,01151065,东城区,对外中医,一级无等,北京市东城区珠市口东大街6号3层东侧301号
北京航星机器制造有限公司北京东城航星医院,01110018,东城区,对外综合,一级无等,北京市东城区和平里东街11号
北京市东城区社区卫生服务中心,01161001,东城区,对外综合,无等级,北京市东城区朝内大街192－1号
北京协和医学院卫生室,01141003,东城区,对内,无等级,北京市东城区东单三条9号
北京崇文中方中医医院,03151021,东城区,对外中医,一级无等,北京市东城区定安里27号
北京市东四中医医院,01110011,东城区,对外中医,一级甲等,北京市东城区东四六条甲62号、东城区朝内大街97号
北京市东城区东四街道东四三条社区卫生服务站,01162050,东城区,社区卫生站,无等级,北京市东城区东四北大街526号一层5101、5122
首都医科大学附属北京同仁医院,01110001,东城区,对外综合,三级甲等,北京市东城区东交民巷1号、北京市东城区崇文门内大街8号、北京经济技术开发区西环南路2号
中国人民解放军总医院第七医学中心,01110004,东城区,对外综合,三级甲等,东城区东四六条南门仓5号、朝阳区农展北路8号
中国中医科学院中医门诊部,01151010,东城区,对外中医,无等级,北京市东城区北新仓18号
中国人民解放军总医院京中医疗区,01141009,东城区,对内,无等级,北京东城区安德里北街21号（西院）
中共北京市委机关医务室,01100060,东城区,对内,无等级,北京市东城区台基厂3号北京市东城区正义路2号
北京固生堂中医医院,01151071,东城区,对外中医,一级无等,北京市东城区六铺炕3号迤北
北京兆如养老服务有限公司（北京市东城区龙潭街道养老照料中心）医务室,01100072,东城区,对内,无等级,东城区广渠门内大街12号楼2幢一层102
北京按摩医院,02155003,西城区,对外中医,二级甲等,北京市西城区宝产胡同7号、北京市西城区宝产胡同36号、北京市西城区宝产胡同18号
北京市回民医院,04110004,西城区,对外中医,三级甲等,北京市西城区右安门内大街11号
北京市宣武中医医院,04151002,西城区,对外中医,三级乙等,北京市西城区万明路13号
首都医科大学附属北京友谊医院,04110002,西城区,对外综合,三级甲等,北京市西城区永安路95号、北京市通州区潞苑东路101号院、北京市通州区运河东大街57号院3号楼
首都医科大学附属复兴医院,02110007,西城区,对外综合,三级无等,北京市西城区复兴门外大街甲20号、北京市西城区月坛北街4号、北京市西城区广安门南街68号、北京市西城区西直门内大街玉桃园三区14号
北京市西城区首都医科大学附属复兴医院月坛社区卫生服务中心,02110046,西城区,对外综合,无等级,北京市西城区复兴门外真武庙六里7号楼
中国医学科学院阜外医院,02155001,西城区,对外专科,三级甲等,北京市西城区北礼士路167号、北京市西城区三里河北街甲1号、北京市西城区北礼士路135号16号楼
北京市丰盛中医骨伤专科医院（北京市西城区丰盛医院）,02110013,西城区,对外中医,二级甲等,北京市西城区阜内大街306号、北京市西城区金融街通泰大厦地下一层、北京市西城区富凯大厦19号地下一层B1F
北京市监狱管理局清河分局医院,04110012,西城区,对外综合,二级无等,天津市汉沽区京山线茶淀站清河农场五科西街
北京市西城区展览路医院,02110010,西城区,对外综合,二级无等,北京市西城区西直门外大街桃柳园西巷16号
北京德胜门中医院,02151002,西城区,对外中医,一级无等,北京市西城区德胜门外大街200号，北京市西城区礼拜寺街25号
中国中医科学院广安门医院西单门诊部,02130016,西城区,对外中医,无等级,北京市西城区横二条二号华恒大厦一、二层
北京金华骨专科医院,02155006,西城区,对外专科,一级甲等,北京市西城区阜成门外大街甲41号楼-2
北京口腔工作者协会西城门诊部,02155005,西城区,对外专科,无等级,北京市西城区阜外大街甲26号、甲28号（西楼）甲28号西楼2层02房间，北京市西城区月坛南街65号二楼
北京市康健科技有限公司门诊部,02130001,西城区,对外综合,无等级,北京市西城区白云观街1层（01-5）、1层（-12）、2层（2-5）、2层（2-6）、2层（2-7）
北京市西城区白云路医院,02141001,西城区,对外综合,一级甲等,北京市西城区广外小马厂西里甲1号
北京市西城区白纸坊街道南菜园社区卫生服务站,04162007,西城区,社区卫生站,无等级,北京市西城区建功北里3区3号楼一层南侧
北京市西城区白纸坊街道白纸坊胡同社区卫生服务站,04162004,西城区,社区卫生站,无等级,北京市西城区白纸坊西街17号院7号楼102号
北京市西城区白纸坊街道自新路社区卫生服务站,04162032,西城区,社区卫生站,无等级,北京市西城区白纸坊东街31号院东侧
北京市西城区白纸坊街道右内西街社区卫生服务站,02162074,西城区,社区卫生站,无等级,北京市西城区右内西街1号院3号楼3-1东侧
北京市西城区白纸坊街道右安门社区卫生服务站,04162006,西城区,社区卫生站,无等级,北京市西城区半步桥街60号院1号楼1层60-1、60-2
北京市西城区白纸坊社区卫生服务中心,04110008,西城区,对外综合,无等级,北京市西城区新安中里4号、北京市西城区枣林前街70号中环办公楼3楼333、334室
北京市西城区椿树街道椿树园社区卫生服务站,04162027,西城区,社区卫生站,无等级,北京市西城区椿树园小区3号楼甲3号一层
北京市西城区椿树街道和平门社区卫生服务站,04162008,西城区,社区卫生站,无等级,北京市西城区和平门4号楼2门110号
北京市西城区椿树社区卫生服务中心,04110007,西城区,对外综合,无等级,北京市西城区西琉璃厂63号、64号
北京市西城区大栅栏街道东琉璃厂社区卫生服务站,04162028,西城区,社区卫生站,无等级,北京市西城区藏家桥5号、7号
北京市西城区大栅栏街道石头胡同社区卫生服务站,04162011,西城区,社区卫生站,无等级,北京市西城区陕西巷84号
北京市西城区大栅栏街道北火扇社区卫生服务站,04162010,西城区,社区卫生站,无等级,北京市西城区北火扇29号前门
北京市西城区大栅栏社区卫生服务中心,04110011,西城区,对外综合,无等级,北京市西城区煤市街152号
北京市西城区德胜街道裕中东里社区卫生服务站,02162015,西城区,社区卫生站,无等级,北京市西城区裕民中路甲4号
北京市西城区德胜街道大街南社区卫生服务站,02162014,西城区,社区卫生站,无等级,北京市西城区六铺炕二区39号楼
北京市西城区德胜街道大街西社区卫生服务站,02162055,西城区,社区卫生站,无等级,北京市西城区德外教场口街9号院7号楼一层
北京市西城区德胜街道黄寺大街社区卫生服务站,02162038,西城区,社区卫生站,无等级,北京市西城区黄寺大街24号院3号楼西侧平房、北京市西城区黄寺大街24号院19号楼一层107房间
北京市西城区德胜街道德新社区卫生服务站,02162030,西城区,社区卫生站,无等级,北京市西城区新明胡同2号楼一层
北京市西城区德胜街道裕中西里社区卫生服务站,02162052,西城区,社区卫生站,无等级,北京市西城区裕中西里28号楼一层
北京市西城区德胜街道双秀社区卫生服务站,02162039,西城区,社区卫生站,无等级,北京市西城区德外马甸南村甲9号
北京市西城区德胜社区卫生服务中心,02110042,西城区,对外综合,无等级,北京市西城区德外大街34号
北京市西城区广安门内街道菜西社区卫生服务站,04162013,西城区,社区卫生站,无等级,北京市西城区老墙根街107号院3号楼一层
北京市西城区广安门内街道西便门社区卫生服务站,04162015,西城区,社区卫生站,无等级,北京市西城区西便门西里10号楼一层
北京市西城区广安门内街道长椿街西里社区卫生服务站,04162012,西城区,社区卫生站,无等级,北京市西城区长椿街西里15-17号楼之间平房
北京市西城区广安门内街道槐柏树社区卫生服务站,04162014,西城区,社区卫生站,无等级,北京市西城区槐柏树北里6号楼对面
北京市西城区广安门内街道三庙社区卫生服务站,04162029,西城区,社区卫生站,无等级,北京市西城区长椿街东里22号楼对面平房
北京市西城区广内社区卫生服务中心,04110006,西城区,对外综合,无等级,北京市西城区校场五条49号
北京市西城区金融街街道宏汇园社区卫生服务站,02162019,西城区,社区卫生站,无等级,北京市西城区宏汇园小区8号楼4门102室、5门101室
北京市西城区金融街街道文化社区卫生服务站,02162018,西城区,社区卫生站,无等级,北京市西城区抄手胡同12号
北京市西城区金融街街道金融社区卫生服务站,02162062,西城区,社区卫生站,无等级,北京市西城区复兴门南大街丁2号配楼
北京市西城区金融街街道砖塔社区卫生服务站,02162020,西城区,社区卫生站,无等级,北京市西城区砖塔胡同丙56号
北京市西城区金融街街道教育社区卫生服务站,02162029,西城区,社区卫生站,无等级,北京市西城区京畿道小区5号楼一层
北京市西城区金融街街道民康社区卫生服务站,02162017,西城区,社区卫生站,无等级,北京市西城区铜光胡同1、2号
北京市西城区金融街社区卫生服务中心,02110047,西城区,对外综合,无等级,北京市西城区阜成门内大街306号
北京市西城区康迈骨伤医院,04155005,西城区,对外中医,一级无等,北京市西城区长椿街12号
北京市西城区牛街街道南线阁社区卫生服务站,04162001,西城区,社区卫生站,无等级,北京市西城区南线阁街21号
北京市西城区牛街街道东里一区社区卫生服务站,04162003,西城区,社区卫生站,无等级,北京市西城区南横西街27号后院平房
北京市西城区牛街街道春风小区社区卫生服务站,04162002,西城区,社区卫生站,无等级,北京市西城区小寺街8号
北京市西城区牛街社区卫生服务中心,02110072,西城区,对外综合,无等级,北京市西城区培育胡同15号
北京市西城区什刹海街道德内社区卫生服务站,02162010,西城区,社区卫生站,无等级,北京市西城区鼓楼西大街155号1至2层
北京市西城区什刹海街道鼓楼社区卫生服务站,02162011,西城区,社区卫生站,无等级,北京市西城区旧鼓楼大街大石桥胡同6号
北京市西城区什刹海街道柳荫街社区卫生服务站,02162044,西城区,社区卫生站,无等级,北京市西城区德内大街刘海胡同11号
北京市西城区什刹海街道爱民街社区卫生服务站,02162008,西城区,社区卫生站,无等级,北京市西城区大红罗厂街丙2号后院
北京市西城区什刹海街道西四北社区卫生服务站,02162012,西城区,社区卫生站,无等级,北京市西城区西安门大街84号
北京市西城区什刹海街道白米社区卫生服务站,02162009,西城区,社区卫生站,无等级,北京市西城区地外大街133号
北京市西城区陶然亭街道畅柳园社区卫生服务站,04110030,西城区,社区卫生站,无等级,北京市西城区南华里2号楼西门
北京市西城区陶然亭街道果子巷社区卫生服务站,04162022,西城区,社区卫生站,无等级,北京市西城区菜市口大街甲2号院4号楼108号
北京市西城区陶然亭街道姚家井社区卫生服务站,04162023,西城区,社区卫生站,无等级,北京市西城区姚家井小区5号楼4门102号
北京市西城区陶然亭社区卫生服务中心,04110010,西城区,对外综合,无等级,北京市西城区陶然亭路12号
北京市西城区陶然亭新兴里社区卫生服务站,02162073,西城区,社区卫生站,无等级,北京市西城区太平街6号3层D-310
北京市西城区天桥街道东经路社区卫生服务站,04162024,西城区,社区卫生站,无等级,北京市西城区东经路104号
北京市西城区天桥街道仁民路社区卫生服务站,04162025,西城区,社区卫生站,无等级,北京市西城区天桥街道华仁路12号
北京市西城区天桥街道虎坊路社区卫生服务站,04162026,西城区,社区卫生站,无等级,北京市西城区寿长街甲51号
北京市西城区西长安街街道翠花社区卫生服务站,02162032,西城区,社区卫生站,无等级,北京市西城区前细瓦厂31号
北京市西城区西长安街街道互助社区卫生服务站,02162031,西城区,社区卫生站,无等级,北京市西城区西单北大街6号
北京市西城区西长安街街道灵境社区卫生服务站,02162001,西城区,社区卫生站,无等级,北京市西城区太仆寺街21号
北京市西城区西长安街社区卫生服务中心,02110051,西城区,对外综合,无等级,北京市西城区油坊胡同52号
北京市西城区新街口社区卫生服务中心,02110048,西城区,对外综合,无等级,北京市西城区后半壁街19号
北京市西城区新街口街道西四北六条社区卫生服务站,02162024,西城区,社区卫生站,无等级,北京市西城区西四北大街135号
北京市西城区新街口街道西里社区卫生服务站,02162041,西城区,社区卫生站,无等级,北京市西城区西里三区甲2号楼2门
北京市西城区新街口街道赵登禹路社区卫生服务站,02162022,西城区,社区卫生站,无等级,北京市西城区赵登禹路54号
北京市西城区新街口街道官园社区卫生服务站,02162035,西城区,社区卫生站,无等级,北京市西城区育强胡同甲20号
北京市西城区新街口街道西三条社区卫生服务站,02162023,西城区,社区卫生站,无等级,北京市西城区宫门口三条甲1号
北京市西城区新街口街道玉桃园社区卫生服务站,02162013,西城区,社区卫生站,无等级,北京市西城区玉桃园三区7号楼1单元101号
北京市西城区右安口腔门诊部,04155006,西城区,对外专科,无等级,北京市西城区白纸坊西街18-6
北京市西城区月坛街道三里河二区社区卫生服务站,02162005,西城区,社区卫生站,无等级,北京市西城区三里河二区10号楼一层
北京市西城区月坛街道社会路社区卫生服务站,02162021,西城区,社区卫生站,无等级,北京市西城区月坛南街19号院4号楼
北京市西城区月坛街道木樨地社区卫生服务站,02162036,西城区,社区卫生站,无等级,北京市西城区木樨地北里甲3号院3号
北京市西城区月坛街道三里河一区社区卫生服务站,02162006,西城区,社区卫生站,无等级,北京市西城区三里河一区51栋
北京市西城区月坛街道汽南社区卫生服务站,02162004,西城区,社区卫生站,无等级,北京市西城区白云路西里28号楼旁
北京市西城区月坛街道南沙沟社区卫生服务站,02162003,西城区,社区卫生站,无等级,北京市西城区三里河小区南沙沟物业服务楼首层
北京市西城区月坛街道复北社区卫生服务站,02162037,西城区,社区卫生站,无等级,北京市西城区复兴门北大街甲7号楼
北京市西城区月坛街道复外24号楼社区卫生服务站,02162002,西城区,社区卫生站,无等级,北京市西城区复外大街24号楼老干部活动室
北京市西城区展览路街道百万庄社区卫生服务站,02162025,西城区,社区卫生站,无等级,北京市西城区百万庄中里45号
北京市西城区展览路街道百南社区卫生服务站,02162034,西城区,社区卫生站,无等级,北京市西城区北露园2号楼平房
北京市西城区展览路街道洪茂沟社区卫生服务站,02162026,西城区,社区卫生站,无等级,北京市西城区三里河东路A7号楼一层
北京市西城区展览路街道朝阳庵社区卫生服务站,02162027,西城区,社区卫生站,无等级,北京市西城区三里河路甲22号-6楼旁东平房
北京市西城区展览路街道南礼士路社区卫生服务站,02162033,西城区,社区卫生站,无等级,北京市西城区万明园小区5号楼
北京市西城区展览路街道三塔社区卫生服务站,02162028,西城区,社区卫生站,无等级,北京市西城区展览路甲18号
北京市西城区展览路街道新华里社区卫生服务站,02162054,西城区,社区卫生站,无等级,北京市西城区车公庄大街北里5栋大楼北侧
北京市西城区展览路社区卫生服务中心,02110050,西城区,对外综合,无等级,北京市西城区阜成门外北大街201号
北京市西城区证仁医院,04110016,西城区,对外综合,一级无等,北京市西城区右安门西街临4号
北京市西城区中环广安门口腔门诊部,04155004,西城区,对外专科,无等级,北京市西城区枣林前街119号楼1层1-2号
北京宣武流动医院,04155002,西城区,对外专科,无等级,北京市西城区广安门外大街甲2号
中国中医科学院广安门医院第二中医门诊部,04151003,西城区,对外中医,无等级,北京市西城区黄寺大街26号院1号楼一层01057、01059、01063、01065二层02172、02173
中国中医科学院广安门医院（中国中医科学院第二临床医药研究所）,04151001,西城区,对外中医,三级甲等,北京市西城区北线阁5号、北京市大兴区黄村兴丰大街二段138号（南区）、北京市西城区永定门西街5号、北京市丰台区西三环南路1号
北京金诺威物业管理有限公司医务室,04140001,西城区,对外综合,无等级,北京市西城区白广路4-6号
北京结核病控制研究与防治所,02154001,西城区,对外专科,三级甲等,北京市西城区新街口东光胡同5号
北京市健宫医院,04110013,西城区,对外中医,三级无等,北京市西城区儒福里6号，北京市西城区半步桥街44号A座903号
首都医科大学宣武医院,04110001,西城区,对外综合,三级甲等,北京市西城区长椿街45号，北京市西城区鸭子桥路47号
